Artikelnummer;Name;Einheit;Preis
6117;Dip Dye Eggs - Sixpack yellow;6;10,00
6115;Dip Dye Eggs * Sixpack blue;6;10,00
6116;Dip Dye Eggs * Sixpack green;6;10,00
1719;Dip Dye Marble * Gamma Ray;6;10,00
1730;Dip Dye Marble Swirl * Starlit Skies;6;10,00
6257;Dip Dye Silver * Stormy Blizzard;6;10,00
1142;Dip Dye Twinkle * Berry Lush;6;10,00
6072;Dip Dye Twinkle * Cold Diamonds;6;10,00
6222;Dip Dye Twinkle * Colour Diamonds;6;10,00
6235;Dip Dye Twinkle * Copper Diamonds;6;10,00
6087;Dip Dye Twinkle * Golden Diamonds;6;10,00
6056;Dip Dye Twinkle * Luxe Lychee;6;10,00
6237;Dip Dye Twinkle * Purple Diamonds;6;10,00
6236;Dip Dye Twinkle * Silver Diamonds;6;10,00
6220;Dip Dye Twinkle * Smaragd Diamonds;6;10,00
6221;Dip Dye Twinkle * Velvet Diamonds;6;10,00
6073;Dip Dye Twinkle * Warm Diamonds;6;10,00
6193;Dip Dye Twinkle Glitter * Christmas Tree Farm;6;10,00
6194;Dip Dye Twinkle Glitter * Santa Baby;6;10,00
6195;Dip Dye Twinkle Glitter * Winter wonderland;6;10,00
1486;Dipper Tube * Black;6;10,00
1488;Dipper Tube * Coral;6;10,00
1490;Dipper Tube * Lilac;6;10,00
1487;Dipper Tube * Mint;6;10,00
1537;Dipper Tube * Pink;6;10,00
6273;Dipper Tube * Purple;6;10,00
6271;Dipper Tube * White;6;10,00
6272;Dipper Tube * Yellow;6;10,00
1471;Flipper Tube * Black;6;10,00
1473;Flipper Tube * Coral;6;10,00
1474;Flipper Tube * Coral (alte Farbe);6;10,00
6264;Flipper Tube * Lilac;6;10,00
6263;Flipper Tube * Mint;6;10,00
1472;Flipper Tube * Pink;6;10,00
6262;Flipper Tube * White;6;10,00
1475;Flipper Tube * Yellow;6;10,00
6252;Graphic Lights  X-Mas * Countdown;6;10,00
1260;Graphic lights * Curves 301;6;10,00
1262;Graphic lights * Curves 303;6;10,00
1263;Graphic lights * Curves 304;6;10,00
1264;Graphic lights * Curves 305;6;10,00
1266;Graphic lights * Dots 401;6;10,00
1269;Graphic lights * Dots 404;6;10,00
1274;Graphic lights * Geo 001;6;10,00
1275;Graphic lights * Geo 002;6;10,00
1258;Graphic lights * Lines 201;6;10,00
1259;Graphic lights * Lines 202;6;10,00
1253;Graphic lights * Sinus 101;6;10,00
1254;Graphic lights * Sinus 102;6;10,00
1255;Graphic lights * Sinus 103;6;10,00
1256;Graphic lights * Sinus 104;6;10,00
1257;Graphic lights * Sinus 105;6;10,00
1272;Graphic lights * Triangle 501;6;10,00
1670;Graphic Lights Black * Curves;6;10,00
1669;Graphic Lights Black * Dots;6;10,00
1671;Graphic Lights Black * Lines;6;10,00
1778;Hole Tray A6 Cosmic Blue;6;10,00
1785;Hole Tray A6 Cosmic Coral;6;10,00
1786;Hole Tray A6 Cosmic Pink;6;10,00
2021;Hole Tray A6 Cosmic Pink;6;10,00
1784;Hole Tray A6 Cosmic Violet;6;10,00
1779;Hole Tray A6 Mint;6;10,00
1780;Hole Tray A6 Yellow;6;10,00
1851;Twinkle/Gmund 925 Light silver/310g/Folico 6719;6;10,00
1849;Twinkle/Gmund Heather Peacock/350g/Folico 6639;6;10,00
1850;Twinkle/Gmund Les Naturals Rubis/330g/6638;6;10,00
1395;Versandpauschale Deutschland;6;9,90
6191;Dip Dye Glitter * Diamonds in the sky;6;9,00
6119;Dip Dye Glitter * Girls Night;6;9,00
6192;Dip Dye Glitter * Let it snow;6;9,00
6147;Dip Dye Glitter * Lilac;6;9,00
6121;Dip Dye Glitter * Mermaids Magic;6;9,00
6126;Dip Dye Glitter * Mint;6;9,00
6125;Dip Dye Glitter * Orange;6;9,00
6122;Dip Dye Glitter * Sparkling Party;6;9,00
6120;Dip Dye Glitter * Special Anniversary;6;9,00
6190;Dip Dye Glitter * Under the mistletoe;6;9,00
6124;Dip Dye Glitter * Yellow;6;9,00
6090;Dip Dye Little Star * Aqua Stars;6;9,00
6078;Dip Dye Little Star * Lipstick Stars;6;9,00
1139;Dip Dye Little Stars * Donut Glaze;6;9,00
1140;Dip Dye Little Stars * Golden Nectar;6;9,00
6249;Dip Dye Little Stars * Prism Stars;6;9,00
6250;Dip Dye Little Stars * Silent Stars;6;9,00
6240;Dip Dye X-Mas * Balmy Sleigh;6;9,00
6231;Dip Dye X-Mas * Chilly Chimney;6;9,00
6241;Dip Dye X-Mas * Comfy Chalet;6;9,00
6069;Dip Dye X-Mas * Cosy Blush;6;9,00
